tif_name_comptroller_report,tif_num_ctu,designation_date,expiration_date,unallocated_funds_2025,surplus_2025,full_surplus_avg_method_25,full_surplus_poly_method_25,full_surplus_weighted_method_25
South Chicago,T-093,4/12/2000,12/31/2036,847775.0,211943.75,6000641.268559359,6143129.636469249,6030301.615333017
Stevenson Brighton,T-149,4/11/2007,12/31/2031,3158591.0,3158591.0,13100393.535863578,14311750.415393803,13352549.31279159
Stockyards Southeast Quadrant Industrial,T-045,2/26/1992,12/31/2028,4431643.0,4431643.0,10192844.22911821,10682533.201948745,10294777.776104832
Stony Island Commercial/Burnside Industrial,T-054,6/10/1998,12/31/2034,870378.0,217594.5,-20672805.173233643,-20047003.92537894,-20542538.525541417
Touhy/Western,T-146,9/13/2006,12/31/2030,80243.0,0.0,3354446.32688896,3506139.809076528,3386022.808190454
Washington Park,T-178,10/8/2014,12/31/2038,6416548.0,6416548.0,11400919.44718144,11660220.245526817,11454895.443330642
West Woodlawn,T-171,5/12/2010,12/31/2034,362384.0,0.0,-113581.09342079982,-106116.78216069005,-112027.32405949058
Western/Ogden,T-048,2/5/1998,12/31/2034,22082519.0,22082519.0,80061707.09510759,82320469.8357692,80531890.64166775
Western/Rock Island,T-142,2/8/2006,12/31/2030,2280792.0,1710594.0,6290502.398891456,6524961.306446098,6339307.312613547
Wilson Yard,T-110,6/27/2001,12/31/2025,2000501.0,1500375.75,-20647632.64458496,-18692405.959319323,-20240633.095381312
Woodlawn,T-065,1/20/1999,12/31/2035,11110669.0,11110669.0,25544960.54740224,26347499.253880635,25712016.824925788
