ward_id,tif_num,tif_coverage
28,T- 64,0.33372639015905164
29,T-156,0.3715335423977211
29,T- 75,0.31382096192594383
29,T-129,0.010424689566255156
29,T- 71,0.5583668070515385
29,T-144,0.9925268671883627
29,T- 95,0.029554168370318816
29,T- 38,0.26944944129453957
30,T- 87,0.057849077408137474
30,T-129,0.4306519229586405
30,T-167,0.999549217970491
30,T-160,0.005803164958237692
30,T- 69,0.0017713498496436343
30,T- 81,0.45314952931944563
31,T- 87,0.08736028790593611
31,T- 69,0.4596601885382423
31,T- 81,0.43034667310995733
31,T- 64,0.038582323998075985
32,T-179,1.0000000000000002
32,T-183,0.8989059218623789
32,T-108,0.011607618930051442
32,T-180,0.04172674214167104
32,T-150,0.35810233716667617
33,T- 88,0.6763395684079466
33,T-116,0.08072719375558537
33,T-160,0.08644171501353229
34,T-186,0.11564657844393449
34,T- 63,0.6795683686080403
34,T-172,0.00942642852670592
34,T- 62,0.010669483782599309
34,T- 52,0.004135839798662138
34,T-184,0.15302077752478924
34,T-147,0.42338952417124576
34,T- 86,0.1706073230034697
34,T-104,0.3172379072368
35,T- 87,0.3331953906264668
35,T-151,0.26554760226338037
35,T-160,0.9077551200282644
35,T- 69,0.14390486854779486
35,T-150,0.4573607375297813
36,T-107,0.13772049865165983
36,T-108,0.0064234753265116976
36,T-129,0.5589233874750964
36,T- 71,0.20661168227480942
36,T-115,0.04205702934203258
36,T- 69,0.11326580753496528
36,T- 52,0.03337687327092228
36,T- 81,0.08643031480686834
36,T- 64,0.08284344033001474
37,T-156,0.6284640398207896
37,T- 75,0.18817280782552398
37,T- 71,0.23502151067368054
37,T-115,0.23854352737133316
37,T- 69,0.0006315201616761757
37,T- 64,0.4377635080550643
38,T- 81,0.026732616954377977
39,T- 88,0.3087598576308502
39,T- 77,0.002176932433094463
39,T-181,0.9999766866409707
39,T-116,0.9192728062444214
39,T-153,0.659375270465169
39,T-177,0.07797189181403483
40,T-135,0.8442047177668953
40,T- 88,0.014900573961210263
40,T-146,0.41633307778005385
40,T- 77,0.42063573207579547
40,T- 70,0.05438603025127621
40,T-130,0.9999999999999993
40,T-177,0.9220281081855848
42,T-186,0.0069065093938581535
42,T- 63,0.023757245413406097
42,T-172,0.9905735714733226
42,T-147,0.5733692504089103
42,T-104,0.09200568677174446
43,T-183,0.0041762068367748395
43,T-180,0.21252441056378907
44,T-180,0.223872453413117
45,T-181,2.331335904651382e-05
45,T-167,0.000450782029494077
45,T-153,0.34062472953484013
46,T-109,0.6210959043123226
46,T-157,0.0005224797990698275
46,T-180,0.20095191219778383
46,T- 70,0.27338743503675333
46,T-173,1.0000000000000002
46,T-110,0.9999999999999993
47,T-109,0.08204454801612737
47,T-180,0.045446102783715095
47,T- 70,0.672226534711996
47,T-150,0.18453692530355154
48,T-109,0.2968595476714954
48,T-157,0.9994775202009103
48,T- 13,0.9999999999999994
48,T-134,0.1808428278486868
48,T-180,0.2208631478560426
49,T-135,0.15579528223310005
49,T-134,0.8179183539576894
49,T-146,0.0020442645743887723
50,T-146,0.5816226576455572
50,T- 77,0.5685699089337888
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
,T-186,2.4673837795189237e-14
,T-156,2.4177814845383086e-06
,T-  1,1.0481185395536109e-16
,T- 56,6.316908308895105e-16
,T-  9,6.876467651248342e-07
,T- 75,8.013455991584946e-08
,T- 73,1.6822036095153167e-06
,T- 45,7.060091945167536e-13
,T-134,0.0012388181936025561
,T- 60,0.0015100455945187136
,T-178,3.687580788650673e-16
,T-103,5.342383276013816e-07
,T-124,3.527575431028512e-08
,T-152,2.3181026521371773e-07
,T-180,0.00027373162448855515
,T-125,0.00011386482708984586
,T- 77,0.008617426557332804
,T-181,4.502693632770746e-14
,T- 30,1.0955228455826353e-15
,T-164,1.7163498561181346e-15
,T-112,1.4488629416313988e-05
,T- 21,6.049500719123176e-14
,T-169,7.4445022730476416e-09
,T-174,1.053284539969659e-18
,T- 95,6.465437356214289e-16
,T-153,5.171902260827349e-17
,T- 69,7.986889523431398e-18
,T- 52,1.5747086187452146e-20
,T- 38,3.821469298346017e-07
,T-185,0.00032175111091581956
,T-106,3.070271695157121e-16
,T-163,9.812906456024583e-16
,T-114,0.0006157434552453165
,T-142,0.004501907114086556
